Level,Number,Name,Area (SF),Room Category,Room Type Description
90-3 -Level 1,1512A,RCV/BREAKDOWN,120,NON-CLINICAL,Storage - General
90-3 -Level 1,1412,STERILIZERS,171,CLINICAL,Sterile Processing
90-3 -Level 1,1507,EVS SUPPLY/EQ STOR,273,NON-CLINICAL,Storage - Equipment
90-3 -Level 1,1510,MAILROOM,201,NON-CLINICAL,Mailroom
90-3 -Level 1,1219,AV/IT,76,SERV,Info Svcs - IDF Closet
90-3 -Level 1,1124,LINEN,33,NON-CLINICAL,Storage-Housekeeping
90-3 -Level 1,1137,STAFF TOILET,78,CLINICAL,Patient Room Restroom
90-3 -Level 1,1138,DICTATION / HUDDLE/ ANESTHESIA WORKROOM,113,CLINICAL,Nurse Station
90-3 -Level 1,1661,SHELL SPACE,76,NON-CLINICAL,Shell Space
90-3 -Level 1,1515,SHELL SPACE,180,NON-CLINICAL,Shell Space
90-3 -Level 1,1220,SCRUB,35,CLINICAL,Clean Core - OR
90-3 -Level 1,1203,PHYSICIAN WORK/LOUNGE,287,NON-CLINICAL,Lounge-Physician
90-3 -Level 1,C1151,PREP CORRIDOR,796,SERV,Circulation / Corridor
90-3 -Level 1,C1154,PREP CORRIDOR,195,SERV,Circulation / Corridor
90-3 -Level 1,C1150,PREP CORRIDOR,587,SERV,Circulation / Corridor
90-3 -Level 1,C1147,PREP CORRIDOR,535,SERV,Circulation / Corridor
90-3 -Level 1,1001,CENTRAL ATRIUM - 4 STORY,4103,VERT,Open
90-3 -Level 1,01EL02,ELEV 2,134,VERT,Elevator
90-3 -Level 1,01ST01,STAIR 1,901,VERT,Stairs
90-3 -Level 1,C1153,CORRIDOR,756,SERV,Circulation / Corridor
90-3 -Level 1,C1007,CORRIDOR,873,SERV,Circulation / Corridor
90-3 -Level 1,C1516,CORRIDOR,566,SERV,Circulation / Corridor
90-3 -Level 1,C1003,CORRIDOR,432,SERV,Circulation / Corridor
90-3 -Level 1,01EL01,ELEV 1,134,VERT,Elevator
90-3 -Level 1,1180,EQUIPMENT STORAGE,16,NON-CLINICAL,Storage - Equipment
90-3 -Level 1,1147B,TEAM STATION,71,CLINICAL,Nurse Station
90-3 -Level 1,1711,P/R 5,107,NON-CLINICAL,Storage - General
90-3 -Level 1,1605,CHEMICAL STORAGE,85,NON-CLINICAL,Storage - Chemicals
90-3 -Level 1,1102,TLT PT,78,SERV,Public Restroom
90-3 -Level 1,1107,EXAM,144,CLINICAL,Exam Room
90-3 -Level 1,1106,LASIK PROCEDURE,334,CLINICAL,Procedure Room
90-3 -Level 1,1105,PATIENT TOILET,78,SERV,Staff Restroom
90-3 -Level 1,1103,CHECK-IN & KIOSK,195,CLINICAL,Waiting Area
90-3 -Level 1,1307,VESTIBULE,61,SERV,Circulation / Corridor
90-3 -Level 1,1305,VESTIBULE,89,SERV,Circulation / Corridor
90-3 -Level 1,1104,CONSULT,75,CLINICAL,Consultation Room
90-3 -Level 1,1222.1,SHAFT,10,VERT,"Shaft, Duct"
90-3 -Level 1,1221.1,SHAFT,9,VERT,"Shaft, Duct"
90-3 -Level 1,1216.1,SHAFT,10,VERT,"Shaft, Duct"
90-3 -Level 1,1211,EVS,62,,
90-3 -Level 1,1205,SHELL SPACE,2469,,
90-3 -Level 1,1207,SCRUB,35,,
90-3 -Level 1,1210,STRETCHER,117,,
90-3 -Level 1,1225,CRASH CART ALCOVE,16,,
90-3 -Level 1,1729,ENDO 03,294,,
90-3 -Level 1,1730,ENDO 02,302,,
90-3 -Level 1,1731,ENDO 01,297,,
90-3 -Level 1,1728,EQUIPMENT STORAGE,130,,
90-3 -Level 1,1702,CHECK IN,214,,
90-3 -Level 1,1701,WAITING,126,,
90-3 -Level 1,1703,PT TLT,60,,
90-3 -Level 1,1715,P/R 1,107,,
90-3 -Level 1,1714,P/R 2,107,,
90-3 -Level 1,1713,P/R 3,107,,
90-3 -Level 1,1710,P/R 6,108,,
90-3 -Level 1,1709,P/R 7,107,,
90-3 -Level 1,1708,P/R 8,108,,
90-3 -Level 1,1719,P/R 12,101,,
90-3 -Level 1,1720,P/R 11,102,,
90-3 -Level 1,1722,P/R 10,97,,
90-3 -Level 1,1723,P/R 9,98,,
90-3 -Level 1,1516,FURNITURE STORAGE,225,,
90-3 -Level 1,C1734,CORRIDOR,957,,
90-3 -Level 1,1386,CORRIDOR,187,,
90-3 -Level 1,C1732,CORRIDOR,867,,
90-3 -Level 1,1726,ALCOVE,22,,
90-3 -Level 1,C1733,CORRIDOR,Redundant Room,,
90-3 -Level 1,C1228,SEMI-RESTRICTED CORRIDOR,259,,
90-3 -Level 1,1142,WHEELCHAIR,Redundant Room,NON-CLINICAL,Storage - General
90-3 -Level 1,1717,TEAM STATION,137,NON-CLINICAL,Shell Space
90-3 -Level 1,1727,CLEAN SUPPLY,144,,
90-3 -Level 1,1724,SOILED HOLDING,75,,
90-3 -Level 1,1721,EVS,59,,
90-3 -Level 1,1725,CONTROL,Redundant Room,,
90-3 -Level 1,1707,PT TLT,65,,
90-3 -Level 1,1706,STAFF TLT,63,,
90-3 -Level 1,1716,NOURISH,23,,
90-3 -Level 1,1718,MEDS,23,,
90-3 -Level 1,1705,PT TLT,57,,
90-3 -Level 1,1704,WC STORAGE,36,,
90-3 -Level 1,1732,PT TLT,47,,
90-3 -Level 1,1704,WC STORAGE,Redundant Room,,
90-3 -Level 1,1733,CORRIDOR,Redundant Room,,
90-3 - Level 2,2008,VESTIBULE,87,SERV,Circulation / Corridor
90-3 - Level 2,C2031,CORRIDOR,807,SERV,Circulation / Corridor
90-3 - Level 2,C2326,CORRIDOR,138,SERV,Circulation / Corridor
90-3 - Level 2,2217,PDT LASER,128,NON-CLINICAL,Office
90-3 - Level 2,C2293,CORRIDOR,440,SERV,Circulation / Corridor
90-3 - Level 2,02VP01,MEP SHAFT,105,VERT,"Shaft, Duct"
90-3 - Level 2,C2298,CORRIDOR,840,SERV,Circulation / Corridor
90-3 - Level 2,2001,WAITING/ CHECK IN,2392,CLINICAL,Registration
90-3 - Level 2,2020,WOMEN'S TOILET,293,SERV,Public Restroom
90-3 - Level 2,2021,MEN'S  TLT,295,SERV,Public Restroom
90-3 - Level 2,2023,ELECTRICAL,106,SERV,Electrical Room
90-3 - Level 2,2024,TELECOM,98,SERV,Information Services Closet
90-3 - Level 2,2022,JAN.,42,NON-CLINICAL,Storage - Clean
90-3 - Level 2,02EL03,STAFF ELEVATOR,84,VERT,Elevator
90-3 - Level 2,2000,VESTIBULE,145,SERV,Circulation / Corridor
90-3 - Level 2,2287,TRIAGE,92,CLINICAL,Nurse Station
90-3 - Level 2,2237,EXAM,131,CLINICAL,Exam Room
90-3 - Level 2,2238,EXAM,133,CLINICAL,Exam Room
90-3 - Level 2,2239,EXAM,131,CLINICAL,Exam Room
90-3 - Level 2,2240,EQUIPMENT STORAGE,109,NON-CLINICAL,Storage - Equipment
90-3 - Level 2,2234,EXAM,169,CLINICAL,Exam Room
90-3 - Level 2,2262,EXAM,163,CLINICAL,Exam Room
90-3 - Level 2,2242,EXAM,178,CLINICAL,Exam Room
90-3 - Level 2,2263,EXAM,168,CLINICAL,Exam Room
90-3 - Level 2,2264,SUB WAIT,36,CLINICAL,Waiting Area
90-3 - Level 2,2265,SUB WAIT,38,CLINICAL,Waiting Area
90-3 - Level 2,2229,EXAM,162,CLINICAL,Exam Room
90-3 - Level 2,2228,EXAM,165,CLINICAL,Exam Room
90-3 - Level 2,2227,EXAM,176,CLINICAL,Exam Room
90-3 - Level 2,2269,EXAM,179,CLINICAL,Exam Room
90-3 - Level 2,2268,EXAM,168,CLINICAL,Exam Room
90-3 - Level 2,2223,EXAM,184,CLINICAL,Exam Room
90-3 - Level 2,2224,YAG LASER,184,CLINICAL,Exam Room
90-3 - Level 2,2225,EXAM,186,CLINICAL,Exam Room
90-3 - Level 2,2226,TEAM STATION,221,CLINICAL,Nurse Station
90-3 - Level 2,2267,EXAM,165,CLINICAL,Exam Room
90-3 - Level 2,2266,TEAM STATION - MINOR PROCEDURE,160,CLINICAL,Nurse Station
90-3 - Level 2,2246,EXAM,175,NON-CLINICAL,Office
90-3 - Level 2,2241,SOILED HOLD,72,NON-CLINICAL,Storage - General
90-3 - Level 2,2235,EXAM,163,CLINICAL,Exam Room
90-3 - Level 2,2243,EXAM,178,NON-CLINICAL,Storage - Clean
90-3 - Level 2,2244,EXAM,178,CLINICAL,Exam Room
90-3 - Level 2,2245,EXAM,177,CLINICAL,Exam Room
90-3 - Level 2,2109,PEDIATRIC EXAM,239,CLINICAL,Exam Room
90-3 - Level 2,2260,EXAM,174,CLINICAL,Exam Room
90-3 - Level 2,2258,EXAM,179,CLINICAL,Exam Room
90-3 - Level 2,2257,EXAM,138,NON-CLINICAL,Storage - Soiled
90-3 - Level 2,2259,EXAM,138,CLINICAL,Sterile Processing
90-3 - Level 2,2256,EXAM,179,CLINICAL,Research Lab
90-3 - Level 2,2255,EXAM,135,CLINICAL,Nurse Station
90-3 - Level 2,2219,CLEAN SUPPLY,207,NON-CLINICAL,Storage - Soiled
90-3 - Level 2,2272,INJECT,171,CLINICAL,Exam Room
90-3 - Level 2,2273,INJECT,165,CLINICAL,Exam Room
90-3 - Level 2,2274,MED,170,CLINICAL,Medication Room
90-3 - Level 2,2275,TRIAGE,125,NON-CLINICAL,Work Area
90-3 - Level 2,2220,EXAM,171,CLINICAL,Exam Room
90-3 - Level 2,2218,EXAM,171,CLINICAL,Exam Room
90-3 - Level 2,2216,EXAM,171,CLINICAL,Exam Room
90-3 - Level 2,2215,EXAM,171,CLINICAL,Exam Room
90-3 - Level 2,2213,SOILED HOLDING,219,CLINICAL,Sterile Processing
90-3 - Level 2,2214,ARGON LASER,203,CLINICAL,Exam Room
90-3 - Level 2,2210,EM CART,42,NON-CLINICAL,Storage - Equipment
90-3 - Level 2,2277,VIS FLDS,88,CLINICAL,Exam Room
90-3 - Level 2,2279,WORKUP,171,CLINICAL,Exam Room
90-3 - Level 2,2281,WORKUP,172,CLINICAL,Exam Room
90-3 - Level 2,2206,WORKROOM,130,CLINICAL,Exam Room
90-3 - Level 2,2207,SLIT LAMP,168,CLINICAL,Exam Room
90-3 - Level 2,2208,ULTRASOUND,215,CLINICAL,Exam Room
90-3 - Level 2,2202,SCHED/CHK OUT,360,CLINICAL,Registration
90-3 - Level 2,2280,CLEAN WORK,91,NON-CLINICAL,Storage - Clean
90-3 - Level 2,2282,NURSE MANAGER,131,NON-CLINICAL,Office
90-3 - Level 2,2500,SHELL SPACE,6304,NON-CLINICAL,Shell Space
90-3 - Level 2,2403,LAB WORK AREA,170,CLINICAL,Outpatient Lab
90-3 - Level 2,2402,BLOOD DRAW 3,83,CLINICAL,Blood Draw
90-3 - Level 2,2404,BLOOD DRAW 2,91,CLINICAL,Blood Draw
90-3 - Level 2,2406,BLOOD DRAW 1,118,CLINICAL,Blood Draw
90-3 - Level 2,2405,TOILET,65,CLINICAL,Patient Room Restroom
90-3 - Level 2,2303,IOS EXAM,201,NON-CLINICAL,Storage - General
90-3 - Level 2,2326,SCHEDULERS,95,CLINICAL,Exam Room
90-3 - Level 2,2325,VITALS ALCOVE,64,CLINICAL,Exam Room
90-3 - Level 2,2324,EXAM,126,NON-CLINICAL,Office
90-3 - Level 2,2323,EXAM,125,NON-CLINICAL,Office
90-3 - Level 2,2322,EXAM,128,NON-CLINICAL,Shell Space
90-3 - Level 2,2337,PROVIDER WORK ROOM,264,CLINICAL,Nurse Station
90-3 - Level 2,2328,EXAM,125,CLINICAL,Exam Room
90-3 - Level 2,2329,EXAM,130,CLINICAL,Exam Room
90-3 - Level 2,2330,EXAM,122,CLINICAL,Exam Room
90-3 - Level 2,2320,EXAM,124,CLINICAL,Exam Room
90-3 - Level 2,2331,EXAM,124,CLINICAL,Exam Room
90-3 - Level 2,2333,OFFICE,155,CLINICAL,Lab (In/Out Patient)
90-3 - Level 2,2335,PROVIDER WORK ROOM,265,NON-CLINICAL,Work Area
